origin,dest,count,year
1,159,95,2026
2,159,5,2026
7,159,2566,2026
9,159,350,2026
13,159,5,2026
14,159,10,2026
15,159,5517,2026
16,159,10,2026
17,159,145,2026
7,160,205,2026
9,160,5,2026
15,160,10695,2026
17,160,95,2026
1,161,115,2026
7,161,1918,2026
9,161,80,2026
15,161,19222,2026
17,161,30,2026
15,162,22020,2026
17,162,45,2026
1,163,45,2026
3,163,282,2026
7,163,714,2026
9,163,280,2026
14,163,250,2026
15,163,345,2026
18,163,59,2026
7,164,375,2026
9,164,50,2026
15,164,7101,2026
7,165,4592,2026
9,165,20,2026
15,165,28582,2026
17,165,5120,2026
7,166,350,2026
9,166,55,2026
15,166,12283,2026
17,166,15,2026
7,167,800,2026
9,167,160,2026
15,167,14260,2026
17,167,375,2026
7,168,3069,2026
9,168,255,2026
14,168,5,2026
15,168,70889,2026
17,168,6437,2026
18,168,10,2026
1,169,280,2026
7,169,2545,2026
8,169,35,2026
9,169,215,2026
13,169,15,2026
14,169,10,2026
15,169,9794,2026
17,169,20,2026
18,169,10,2026
1,170,1075,2026
3,170,2755,2026
4,170,2555,2026
5,170,40,2026
7,170,39345,2026
8,170,17440,2026
9,170,800,2026
13,170,145,2026
14,170,10015,2026
15,170,90,2026
16,170,51365,2026
17,170,465,2026
18,170,85,2026
1,171,505,2026
7,171,1290,2026
8,171,15,2026
9,171,20,2026
13,171,15,2026
14,171,370,2026
16,171,2150,2026
18,171,35,2026
1,172,525,2026
3,172,6570,2026
4,172,290,2026
7,172,3700,2026
8,172,385,2026
14,172,2525,2026
16,172,11425,2026
3,173,405,2026
7,173,430,2026
8,173,85,2026
9,173,65,2026
14,173,545,2026
16,173,25530,2026
1,174,195,2026
3,174,175,2026
4,174,90,2026
7,174,830,2026
8,174,845,2026
9,174,25,2026
14,174,475,2026
16,174,51805,2026
1,175,120,2026
3,175,10240,2026
7,175,1355,2026
8,175,2220,2026
9,175,40,2026
14,175,1250,2026
15,175,15,2026
16,175,51805,2026
17,175,365,2026
3,176,40,2026
4,176,35,2026
7,176,230,2026
8,176,1380,2026
9,176,115,2026
14,176,370,2026
16,176,31132,2026
1,177,10,2026
7,177,380,2026
8,177,85,2026
9,177,35,2026
14,177,65,2026
16,177,32725,2026
1,178,390,2026
2,178,200,2026
3,178,45,2026
7,178,7777,2026
9,178,3210,2026
14,178,225,2026
15,178,4982,2026
17,178,19376,2026
18,178,150,2026
7,179,3550,2026
14,179,130,2026
17,179,18733,2026
7,180,8450,2026
17,180,13601,2026
1,181,35,2026
4,181,9410,2026
7,181,7587,2026
8,181,567,2026
9,181,1154,2026
13,181,40,2026
14,181,90,2026
17,181,59689,2026
7,182,55,2026
9,182,439,2026
15,182,40,2026
17,182,14905,2026
18,182,5,2026
2,183,35,2026
7,183,1029,2026
9,183,746,2026
15,183,4108,2026
17,183,17120,2026
3,184,420,2026
7,184,2825,2026
9,184,5,2026
17,184,8409,2026
2,185,6,2026
3,185,20,2026
7,185,15088,2026
8,185,301,2026
9,185,1123,2026
14,185,35,2026
15,185,324,2026
16,185,5,2026
17,185,64434,2026
4,186,64,2026
7,186,9678,2026
9,186,30,2026
14,186,25,2026
15,186,815,2026
17,186,27589,2026
1,187,35,2026
4,187,5,2026
7,187,1973,2026
9,187,1181,2026
15,187,895,2026
17,187,7168,2026
3,188,54,2026
4,188,3055,2026
7,188,764,2026
16,188,51,2026
17,188,21687,2026
4,189,1725,2026
7,189,4677,2026
8,189,3373,2026
9,189,819,2026
14,189,712,2026
17,189,10847,2026
4,190,516,2026
7,190,645,2026
9,190,160,2026
15,190,4103,2026
17,190,14304,2026
7,191,3540,2026
8,191,615,2026
9,191,198,2026
14,191,5,2026
16,191,5,2026
17,191,9939,2026
2,192,175,2026
3,192,190,2026
7,192,28222,2026
9,192,5375,2026
10,192,170,2026
14,192,125,2026
15,192,350,2026
17,192,340,2026
18,192,510,2026
1,193,717,2026
2,193,3485,2026
3,193,228,2026
4,193,7,2026
7,193,77632,2026
8,193,116,2026
9,193,791,2026
13,193,2997,2026
14,193,390,2026
15,193,331,2026
16,193,15,2026
17,193,480,2026
18,193,6825,2026
1,194,45,2026
2,194,35,2026
7,194,8001,2026
9,194,746,2026
13,194,60,2026
18,194,1455,2026
2,195,123,2026
3,195,110,2026
4,195,320,2026
7,195,46556,2026
8,195,115,2026
9,195,350,2026
15,195,341,2026
16,195,295,2026
17,195,755,2026
18,195,500,2026
1,196,40,2026
7,196,3586,2026
9,196,115,2026
13,196,5,2026
18,196,15,2026
1,197,374,2026
2,197,75,2026
3,197,2406,2026
4,197,1339,2026
7,197,71098,2026
8,197,1714,2026
9,197,11538,2026
13,197,452,2026
14,197,404,2026
15,197,3407,2026
16,197,260,2026
17,197,4832,2026
2,198,433,2026
3,198,1476,2026
4,198,490,2026
7,198,37251,2026
8,198,1388,2026
9,198,3582,2026
13,198,130,2026
14,198,1214,2026
15,198,929,2026
16,198,193,2026
17,198,2466,2026
18,198,5712,2026
1,199,897,2026
2,199,3,2026
3,199,46,2026
4,199,206,2026
7,199,7431,2026
8,199,150,2026
9,199,3232,2026
15,199,402,2026
18,199,1949,2026
9,200,1733,2026
7,19,7601,2025
1,20,4739,2025
7,20,51185,2025
1,21,25845,2025
7,21,37077,2025
18,21,2642,2025
1,22,35505,2025
7,22,26228,2025
18,22,123166,2025
7,23,1586,2025
2,24,220,2025
7,24,3195,2025
7,25,100,2025
7,26,2869,2025
1,27,285,2025
2,27,21262,2025
7,27,70,2025
13,27,2268,2025
1,28,7808,2025
2,28,18208,2025
3,28,59,2025
5,28,25,2025
7,28,28694,2025
9,28,100,2025
13,28,14898,2025
14,28,105,2025
15,28,420,2025
2,29,17407,2025
7,29,3920,2025
15,29,170,2025
1,30,3159,2025
2,30,85603,2025
7,30,8231,2025
13,30,2605,2025
14,30,80,2025
1,31,22842,2025
2,31,32634,2025
7,31,80334,2025
8,31,105,2025
9,31,720,2025
13,31,42194,2025
14,31,475,2025
15,31,270,2025
16,31,45,2025
18,31,160,2025
1,32,1985,2025
2,32,42790,2025
5,32,110,2025
7,32,1770,2025
9,32,50,2025
13,32,505,2025
15,32,65,2025
18,32,70,2025
1,33,60,2025
2,33,7615,2025
7,33,3776,2025
13,33,375,2025
3,34,11155,2025
8,34,50,2025
16,34,58800,2025
3,35,32090,2025
3,36,74410,2025
7,36,205,2025
8,36,1448,2025
14,36,7500,2025
3,37,28750,2025
3,38,54558,2025
7,38,1050,2025
8,38,104619,2025
14,38,2680,2025
3,39,57625,2025
14,39,2255,2025
15,39,3425,2025
16,39,1750,2025
3,40,82055,2025
7,40,84,2025
8,40,115,2025
14,40,400,2025
16,40,3508,2025
3,41,131479,2025
7,41,1590,2025
8,41,25862,2025
14,41,23207,2025
16,41,1500,2025
3,42,210793,2025
7,42,15,2025
8,42,2465,2025
9,42,23,2025
14,42,11,2025
16,42,4500,2025
4,43,600,2025
7,43,40610,2025
14,43,2000,2025
17,43,665,2025
1,44,200,2025
4,44,12761,2025
7,44,31810,2025
8,44,450,2025
9,44,190,2025
3,45,1000,2025
4,45,83450,2025
7,45,40325,2025
8,45,16815,2025
9,45,3910,2025
14,45,70880,2025
17,45,65,2025
3,46,450,2025
4,46,615,2025
7,46,44625,2025
8,46,25,2025
14,46,3570,2025
17,46,4452,2025
4,47,15400,2025
7,47,33750,2025
14,47,10550,2025
1,48,200,2025
4,48,20100,2025
7,48,10,2025
9,48,390,2025
14,48,4540,2025
4,49,15500,2025
7,49,49420,2025
14,49,2000,2025
17,49,300,2025
4,50,5610,2025
7,50,59555,2025
8,50,23115,2025
14,50,112380,2025
16,50,25,2025
4,51,6325,2025
7,51,64335,2025
8,51,1230,2025
9,51,120,2025
14,51,9600,2025
1,52,12829,2025
7,52,831,2025
13,52,100,2025
7,53,15725,2025
13,53,6508,2025
7,54,11449,2025
1,55,11513,2025
7,55,20738,2025
8,55,635,2025
13,55,15152,2025
14,55,240,2025
1,56,10985,2025
7,56,17305,2025
13,56,1000,2025
1,57,28403,2025
7,57,11200,2025
8,57,172,2025
13,57,1300,2025
1,58,20077,2025
2,58,4153,2025
7,58,35415,2025
1,59,12038,2025
5,59,8930,2025
7,59,20710,2025
8,59,833,2025
7,60,56917,2025
1,61,35503,2025
3,61,15,2025
5,61,275,2025
7,61,56061,2025
13,61,6110,2025
15,61,400,2025
1,62,98051,2025
2,62,2265,2025
7,62,198684,2025
13,62,32695,2025
1,63,8082,2025
7,63,7830,2025
13,63,1503,2025
1,64,42126,2025
7,64,43510,2025
1,65,65341,2025
7,65,85814,2025
13,65,10200,2025
1,66,1000,2025
6,66,3325,2025
7,66,1045,2025
1,67,1825,2025
7,67,350,2025
1,68,1735,2025
7,68,3120,2025
1,69,4980,2025
7,69,7919,2025
13,69,570,2025
1,70,20488,2025
7,70,2112,2025
1,71,895,2025
6,71,1500,2025
7,71,3370,2025
1,72,1105,2025
6,72,1000,2025
7,72,1430,2025
1,73,6145,2025
7,73,1110,2025
1,74,141,2025
7,74,25557,2025
1,75,1563,2025
7,75,13039,2025
8,75,74,2025
9,75,92,2025
18,75,998,2025
1,76,606,2025
7,76,20903,2025
8,76,5,2025
13,76,75,2025
14,76,5,2025
1,77,5875,2025
7,77,14115,2025
13,77,50,2025
1,78,30,2025
7,78,5885,2025
1,79,433,2025
7,79,8854,2025
13,79,55,2025
7,80,400,2025
8,80,632290,2025
7,81,25,2025
8,81,49165,2025
14,81,165,2025
4,82,5763,2025
7,82,4335,2025
8,82,4302,2025
9,82,105,2025
14,82,1024,2025
16,82,35,2025
8,83,19850,2025
3,84,335,2025
8,84,16039,2025
14,84,938,2025
16,84,600,2025
8,85,2740,2025
4,86,3,2025
8,86,202489,2025
14,86,24052,2025
3,87,2970,2025
7,87,1770,2025
8,87,87551,2025
14,87,2165,2025
16,87,5300,2025
7,88,1225,2025
8,88,16680,2025
14,88,1435,2025
7,89,15,2025
8,89,2295,2025
14,89,200,2025
16,89,170,2025
3,90,20,2025
7,90,365,2025
8,90,197699,2025
14,90,150,2025
16,90,10,2025
8,91,56139,2025
14,91,165,2025
3,92,19087,2025
7,92,850,2025
8,92,36419,2025
14,92,4285,2025
16,92,18341,2025
3,93,4638,2025
8,93,221210,2025
14,93,12236,2025
3,94,45,2025
7,94,65,2025
8,94,15262,2025
14,94,130,2025
8,95,39515,2025
2,58,519,2025
7,58,26005,2025
9,58,5596,2025
15,58,7421,2025
17,58,94,2025
1,97,1553,2025
7,97,31396,2025
9,97,1340,2025
7,98,7130,2025
17,98,198,2025
7,99,5741,2025
9,99,3304,2025
11,99,10,2025
12,99,5,2025
